                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.77851,                0.84047,                 1.1761,                 0.9225,                0.81884,                0.89036,                0.68533,                0.88233,                0.74817,                 1.0384,              0.0012328,              0.0012328,              0.0012328
                     65,                0.77401,                0.83938,                 1.1766,                0.87521,                0.82246,                0.88021,                0.66442,                0.89085,                0.79421,                 1.0688,              0.0012204,              0.0012204,              0.0012204
                     66,                0.75444,                0.83481,                 1.1716,                0.91593,                0.81522,                0.89815,                0.69712,                0.88413,                0.74383,                 1.0362,               0.001208,               0.001208,               0.001208
                     67,                0.75353,                0.83117,                  1.165,                0.92288,                0.82971,                0.89406,                0.70017,                0.85088,                0.75343,                 1.0113,              0.0011956,              0.0011956,              0.0011956
                     68,                0.74821,                0.83404,                 1.1575,                0.91811,                0.83333,                0.90654,                0.68958,                0.89636,                0.75778,                 1.0542,              0.0011833,              0.0011833,              0.0011833
                     69,                0.73826,                0.81492,                  1.162,                0.91968,                0.82975,                0.90069,                  0.685,                0.88036,                0.73473,                 1.0478,              0.0011709,              0.0011709,              0.0011709
                     70,                0.74657,                0.80925,                 1.1555,                0.93493,                 0.7971,                0.88664,                0.68711,                0.88833,                0.78475,                 1.0615,              0.0011585,              0.0011585,              0.0011585
                     71,                0.72749,                0.78301,                 1.1506,                0.91208,                0.83696,                0.91006,                0.70979,                0.87679,                0.70431,                 1.0291,              0.0011461,              0.0011461,              0.0011461
                     72,                0.73771,                0.80309,                 1.1516,                0.94182,                0.84058,                0.91524,                0.71159,                0.83323,                0.71676,                 1.0089,              0.0011337,              0.0011337,              0.0011337
                     73,                0.71177,                0.77851,                 1.1369,                0.93576,                0.84783,                0.91715,                0.71791,                0.86026,                0.69856,                 1.0296,              0.0011214,              0.0011214,              0.0011214
                     74,                0.72405,                0.77952,                 1.1485,                0.94813,                0.82609,                0.91828,                0.71212,                0.85093,                0.65073,                 1.0142,               0.001109,               0.001109,               0.001109
                     75,                0.72456,                 0.7935,                 1.1428,                  0.927,                0.84058,                0.89963,                0.70972,                 0.8437,                0.71025,                 1.0114,              0.0010966,              0.0010966,              0.0010966
                     76,                0.71968,                0.76439,                 1.1393,                0.95283,                0.80511,                0.89899,                0.69848,                0.84765,                  0.718,                 1.0061,              0.0010842,              0.0010842,              0.0010842
                     77,                0.71945,                0.77474,                 1.1462,                0.95269,                0.86957,                0.93179,                0.74369,                0.78498,                0.59874,                0.95468,              0.0010719,              0.0010719,              0.0010719
                     78,                0.70257,                0.75756,                 1.1316,                0.93423,                0.81522,                0.91598,                0.72142,                0.83339,                0.66849,                0.99804,              0.0010595,              0.0010595,              0.0010595
                     79,                0.69756,                0.73652,                 1.1238,                0.94256,                0.83232,                0.91094,                0.71018,                0.87229,                0.68997,                 1.0344,              0.0010471,              0.0010471,              0.0010471
                     80,                0.70839,                0.75042,                 1.1364,                0.94184,                0.82971,                0.91583,                0.71877,                0.85932,                 0.6781,                 1.0303,              0.0010347,              0.0010347,              0.0010347
